Sentence,Dependency,SRLs
सदियों मानव मन सवाल रहा कि क्या अंतरिक्ष हम अकेले हैं या ब्रह्मांड ग्रह जीवन स्वरूप मौजूद है2,k7t r6 k7 k1 root rs vmod k7p k1 k1s ccof ccof r6 k7p k1 k7 k1s ccof,ARGM-TMP NO_SRL ARG2-ATR ARG1 NO_SRL NO_SRL ARGM-DIS ARGM-LOC ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL ARGM-LOC ARG1 ARGM-MNR ARG2-ATR NO_SRL
अभी वैज्ञानिकों सवाल जवाब मिला लेकिन ग्रहों खोज वैज्ञानिकों2 उम्मीदें बढ़ा,k7t k4 r6 k2 ccof root r6 k1 r6 k2 ccof,ARGM-TMP ARG0 NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARG0 NO_SRL ARG1 NO_SRL
पृथ्वी ग्रहों जीवन उम्मीद है,nmod k7p r6 k1 root,NO_SRL ARGM-LOC NO_SRL ARG1 NO_SRL
ग्रह पृथ्वी ज्यादा बड़े हैं,k1 k1u jjmod k1s root,ARG1 ARGM-MNR NO_SRL ARG2-ATR NO_SRL
विज्ञानियों हमारे मंडल अंतरिक्ष2 सूर्य कैंसरी तारे NULL परिक्रमा करने ग्रहों वर्ग पता लगाया,k1 r6 k7p k7p ras-neg-k1 nmod r6 root k2 nmod__k1inv r6 r6-k1 pof root,NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARG0 NO_SRL NO_SRL
वाशिंगटन बटलर हमारे पृथ्वी ग्रह अस्तित्व जानकारी फिलहाल है लेकिन खोज उम्मीद जाग कि अंतरिक्ष पृथ्वी2 ग्रह2 मौजूद हो,r6 k7 k7 k1u r6 r6 k1 adv ccof root rh k1 ccof rs k7p k1u k1 pof ccof,NO_SRL NO_SRL ARGM-LOC ARGM-MNR NO_SRL NO_SRL ARG1 ARGM-TMP NO_SRL NO_SRL ARGM-CAU ARG1 NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL NO_SRL
NULL खोजे ग्रह पृथ्वी हैं,root nmod__k2inv k1 k1u root,NO_SRL NO_SRL ARG1 ARG2-ATR NO_SRL
नासा मुख्यालय आयोजित सम्मेलन विज्ञानियों बताया कि ग्रहों द्रव्यमान वरुण नेपचून के2 होगा और व्यास हमारी पृथ्वी तुलना ज्यादा होगा2,r6 jjmod nmod k7p k1 root k2 r6 k1 k1u nmod fragof ccof ccof k1 r6 r6 k7 k1s ccof,NO_SRL NO_SRL NO_SRL ARGM-LOC ARG0 NO_SRL ARG1 NO_SRL ARG1 ARG2-ATR NO_SRL NO_SRL NO_SRL NO_SRL ARG1 NO_SRL NO_SRL ARGM-LOC ARG2-ATR NO_SRL
हालांकि ग्रह दशक हमारे NULL सौरमंडल NULL2 खोजे ग्रहों हैं,root k1 k7t r6 root k7p root nmod k1u ccof,NO_SRL ARG1 ARGM-TMP NO_SRL NO_SRL ARGM-LOC NO_SRL NO_SRL ARG2-ATR NO_SRL
ग्रहों द्र्रव्यमान बृहस्पति ज्यूपिटर के और पृथ्वी ज्यादा है,r6 k1 ccof nmod fragof k1u ccof k1s root,NO_SRL ARG1 NO_SRL NO_SRL NO_SRL ARGM-MNR NO_SRL ARG2-ATR NO_SRL
माना कि ये गोले हैं,root k2 k1 k1s ccof,NO_SRL ARG1 ARG1 ARG2-ATR NO_SRL
